,순위,선수명,팀명,타율,경기수,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,선수ID
234,7,라모스,LG,0.300,92,384,337,58,101,14,1,30,207,67,0,4,50165
235,8,김민성,LG,0.293,55,212,188,19,55,13,0,3,77,34,2,3,77564
236,9,채은성,LG,0.288,78,335,302,45,87,13,1,9,129,65,0,4,79192
237,10,이천웅,LG,0.283,59,268,230,39,65,7,1,1,77,27,2,5,61186
238,11,오지환,LG,0.282,95,392,354,57,100,26,5,9,163,51,5,4,79109
239,12,홍창기,LG,0.275,89,295,233,57,64,19,5,3,102,21,2,2,66108
240,13,유강남,LG,0.272,93,331,302,40,82,12,0,13,133,62,0,2,61102
241,14,이성우,LG,0.268,48,66,56,7,15,1,0,3,25,11,4,0,71184
242,15,정주현,LG,0.258,89,236,209,34,54,7,4,3,78,27,3,1,79150
243,16,백승현,LG,0.250,27,39,28,5,7,1,0,0,8,2,6,0,65109
244,16,양석환,LG,0.250,4,17,16,1,4,0,0,1,7,5,0,0,64153
245,18,김호은,LG,0.239,53,94,88,12,21,4,0,2,31,8,0,0,66113
246,19,정근우,LG,0.232,58,159,138,20,32,2,0,1,37,12,3,1,75808
247,20,장준원,LG,0.228,35,65,57,9,13,3,0,1,19,6,1,1,64115
248,21,전민수,LG,0.200,4,6,5,0,1,0,0,0,1,0,0,0,78361
249,22,구본혁,LG,0.188,88,73,64,14,12,0,1,1,17,6,2,0,69100
250,23,박재욱,LG,0.167,6,7,6,0,1,0,0,0,1,1,0,0,64100
251,24,이재원,LG,0.056,13,19,18,1,1,0,0,0,1,0,0,0,68106
252,25,김대현,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,66145
253,25,류원석,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,63103
254,25,박지규,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,65136
255,25,백청훈,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,78819
256,25,송은범,LG,-,4,0,0,0,0,0,0,0,0,0,0,0,73801
257,25,이우찬,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,61145
258,25,이정용,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,69134
259,25,이찬혁,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,67164
260,25,정우영,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,69159
261,25,진해수,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,76650
262,25,최동환,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,79140
263,25,최성훈,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,62146
264,25,최재원,LG,0.000,6,6,6,0,0,0,0,0,0,0,0,0,63913
265,25,한석현,LG,0.000,9,3,2,3,0,0,0,0,0,0,0,0,64101
266,1,김기환,NC,0.500,4,2,2,1,1,1,0,0,2,0,0,0,65462
267,2,최정원,NC,0.381,14,27,21,5,8,3,1,0,13,2,1,0,69992
268,3,강진성,NC,0.340,79,292,268,44,91,19,0,12,146,54,2,5,62925
269,4,박민우,NC,0.336,76,320,283,49,95,18,2,4,129,33,1,6,62907
270,5,이명기,NC,0.326,88,348,313,54,102,14,2,1,123,35,2,3,76849
271,6,나성범,NC,0.320,89,410,366,80,117,26,2,27,228,84,0,1,62947
272,7,양의지,NC,0.308,82,325,279,50,86,18,0,16,152,70,1,5,76232
273,8,모창민,NC,0.297,50,122,118,8,35,10,1,2,53,8,0,0,78813
274,9,알테어,NC,0.294,88,349,313,65,92,15,5,21,180,77,0,2,50923
275,10,김형준,NC,0.290,18,32,31,2,9,0,0,0,9,3,0,0,68912
276,11,김태군,NC,0.288,55,94,80,13,23,6,0,1,32,17,6,1,78122
277,12,박석민,NC,0.281,85,306,242,40,68,7,0,10,105,44,2,3,74465
278,13,노진혁,NC,0.273,86,314,282,47,77,14,2,15,140,57,1,0,62931
279,14,이원재,NC,0.271,35,76,70,10,19,4,2,1,30,5,1,0,62025
280,15,김찬형,NC,0.264,47,60,53,8,14,4,0,0,18,6,2,1,66917
281,16,권희동,NC,0.262,79,279,225,43,59,10,0,10,99,35,5,2,63963
282,17,김준완,NC,0.240,38,59,50,7,12,0,0,1,15,5,0,0,63920
283,18,김성욱,NC,0.238,61,116,101,18,24,4,0,3,37,11,3,0,62934
284,19,지석훈,NC,0.194,44,80,67,16,13,5,0,1,21,8,1,2,73306
285,20,박준영,NC,0.125,18,34,32,4,4,3,0,0,7,3,0,0,66928
286,21,이상호,NC,0.091,54,47,44,14,4,0,0,0,4,0,1,0,60566
287,22,강동연,NC,-,3,0,0,0,0,0,0,0,0,0,0,0,61295
288,22,김건태,NC,-,4,0,0,0,0,0,0,0,0,0,0,0,60339
289,22,김진성,NC,-,2,0,0,0,0,0,0,0,0,0,0,0,75867
290,22,배재환,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,64995
291,22,서호철,NC,0.000,2,8,8,0,0,0,0,0,0,0,0,0,69995
292,22,손정욱,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,63914
293,22,송명기,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,69962
294,22,원종현,NC,-,2,0,0,0,0,0,0,0,0,0,0,0,76118
295,22,유영준,NC,0.000,4,3,3,0,0,0,0,0,0,0,0,0,63903
296,22,홍성무,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,65042
297,1,채태인,SK,0.296,52,144,125,8,37,2,0,6,57,20,0,0,77463
298,2,오준혁,SK,0.291,53,126,117,17,34,7,0,3,50,14,0,0,61743
299,3,김성민,SK,0.286,9,16,14,4,4,0,0,2,10,4,0,0,50848
300,4,최항,SK,0.278,35,112,97,13,27,2,0,0,29,9,0,1,62884
301,5,최정,SK,0.276,93,385,308,64,85,18,0,23,172,68,0,5,75847
302,6,김성현,SK,0.275,90,244,211,21,58,4,1,1,67,16,7,2,76802
303,7,김강민,SK,0.272,79,203,180,28,49,8,1,7,80,32,3,2,71837
304,8,로맥,SK,0.271,94,397,329,55,89,19,0,18,162,57,0,3,67872
305,9,최지훈,SK,0.270,81,336,296,42,80,13,3,1,102,15,7,1,50854
306,10,이흥련,SK,0.269,35,108,104,6,28,1,0,3,38,20,0,1,63440
307,11,유서준,SK,0.263,20,19,19,8,5,1,0,0,6,1,0,0,64890
308,12,정의윤,SK,0.263,57,171,156,12,41,3,1,1,49,17,0,2,75151
309,13,김경호,SK,0.260,29,51,50,7,13,2,1,0,17,4,0,0,64260
310,14,한동민,SK,0.260,56,212,177,33,46,5,0,13,90,27,0,2,62895
311,15,오태곤,SK,0.253,53,96,87,13,22,5,1,1,32,13,1,0,60558
312,16,이거연,SK,0.250,3,5,4,0,1,0,0,0,1,0,0,0,50819
313,17,고종욱,SK,0.245,51,156,147,8,36,4,2,1,47,16,0,1,61353
314,17,남태혁,SK,0.245,26,54,49,2,12,1,0,1,16,10,0,0,66052
315,19,최준우,SK,0.244,58,196,172,23,42,4,0,3,55,14,5,1,68868
316,20,정진기,SK,0.238,50,140,126,14,30,2,2,2,42,15,4,2,61869
317,21,윤석민,SK,0.192,34,76,73,4,14,2,0,3,25,12,0,1,74215
318,22,김창평,SK,0.191,17,55,47,7,9,2,1,0,13,5,0,0,69825
319,23,이현석,SK,0.176,45,93,85,6,15,2,0,2,23,7,2,0,65869
320,24,정현,SK,0.153,68,112,98,12,15,3,0,1,21,2,3,0,63450
321,25,김재현,SK,0.143,8,14,14,3,2,0,0,0,2,0,0,0,76869
322,26,이재원,SK,0.130,37,108,92,8,12,2,0,1,17,7,2,1,76812
323,27,김정빈,SK,-,3,0,0,0,0,0,0,0,0,0,0,0,63894
324,27,김주온,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,65411
325,27,김태훈,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,79847
326,27,박민호,SK,-,4,0,0,0,0,0,0,0,0,0,0,0,64893
327,27,서동민,SK,-,2,0,0,0,0,0,0,0,0,0,0,0,64896
328,27,서진용,SK,-,4,0,0,0,0,0,0,0,0,0,0,0,61895
329,27,오원석,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,50859
330,27,정영일,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,62056
331,27,조영우,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,64768
332,27,하재훈,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,69813
333,27,현원회,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,50840
334,27,화이트,SK,0.000,2,6,5,0,0,0,0,0,0,0,0,0,50802
