,name,team,salary,position
106,최용준,KIA 타이거즈,2700만원,투수(우투우타)
107,박민,KIA 타이거즈,2700만원,내야수(우투우타)
108,정해영,KIA 타이거즈,2700만원,투수(우투우타)
109,임종찬,한화 이글스,2700만원,외야수(우투좌타)
110,강재민,한화 이글스,2700만원,투수(우투우타)
111,장웅정,한화 이글스,2700만원,투수(우투우타)
112,최인호,한화 이글스,2700만원,외야수(우투좌타)
113,최이경,한화 이글스,2700만원,투수(좌투좌타)
114,박정현,한화 이글스,2700만원,내야수(우투우타)
115,김범준,한화 이글스,2700만원,투수(우투우타)
116,김승일,한화 이글스,2700만원,투수(우언우타)
117,김현제,한화 이글스,2700만원,투수(우투우타)
118,박재경,한화 이글스,2700만원,내야수(우투우타)
119,김광명,한화 이글스,2700만원,외야수(우투좌타)
120,남지민,한화 이글스,2700만원,투수(우투우타)
121,한승주,한화 이글스,2700만원,투수(우투우타)
122,반즈,한화 이글스,50000달러,외야수(우투우타)
123,신지후,한화 이글스,2700만원,투수(우투우타)
124,길지석,SK 와이번스,2700만원,투수(우투우타)
125,박시후,SK 와이번스,2700만원,투수(좌투좌타)
126,양선률,SK 와이번스,2700만원,투수(우투우타)
127,이재성,SK 와이번스,2700만원,투수(좌투좌타)
128,킹엄,SK 와이번스,500000달러,투수(우투우타)
129,김태우,SK 와이번스,2700만원,포수(우투우타)
130,김교람,SK 와이번스,2700만원,내야수(우투우타)
131,석호준,SK 와이번스,2700만원,내야수(우투우타)
132,이거연,SK 와이번스,2700만원,내야수(우투우타)
133,전의산,SK 와이번스,2700만원,내야수(우투좌타)
134,핀토,SK 와이번스,450000달러,투수(우투우타)
135,현원회,SK 와이번스,2700만원,포수(우투우타)
136,김성민,SK 와이번스,2700만원,내야수(우투우타)
137,최지훈,SK 와이번스,2700만원,외야수(우투좌타)
138,오원석,SK 와이번스,2700만원,투수(좌투좌타)
139,류효승,SK 와이번스,2700만원,외야수(우투우타)
140,임형원,NC 다이노스,2700만원,투수(우투우타)
141,안인산,NC 다이노스,2700만원,투수(우투우타)
142,김한별,NC 다이노스,2700만원,투수(우투우타)
143,한재환,NC 다이노스,2700만원,내야수(우투우타)
144,이종준,NC 다이노스,2700만원,투수(우투우타)
145,강태경,NC 다이노스,2700만원,투수(우투좌타)
146,박영빈,NC 다이노스,2700만원,외야수(우투좌타)
147,한건희,NC 다이노스,2700만원,투수(우투우타)
148,라이트,NC 다이노스,800000달러,투수(우투우타)
149,알테어,NC 다이노스,800000달러,외야수(우투우타)
150,노상혁,NC 다이노스,2700만원,투수(우투우타)
151,노학준,NC 다이노스,2700만원,외야수(좌투좌타)
152,김태경,NC 다이노스,2700만원,투수(우투우타)
153,정구범,NC 다이노스,2700만원,투수(좌투좌타)
154,박시원,NC 다이노스,2700만원,외야수(우투좌타)
155,백진우,한화 이글스,5300만원,외야수(우투우타)
156,신정락,한화 이글스,12000만원,투수(우언우타)
157,이승현,삼성 라이온즈,10000만원,투수(우투우타)
158,김지용,LG 트윈스,11000만원,투수(우투우타)
159,김창혁,한화 이글스,3000만원,포수(우투우타)
160,이재학,NC 다이노스,27500만원,투수(우언우타)
161,정대현,키움 히어로즈,4500만원,투수(좌투좌타)
162,김응민,삼성 라이온즈,3200만원,포수(우투우타)
163,문성현,키움 히어로즈,4200만원,투수(우투우타)
164,김대유,LG 트윈스,4500만원,투수(좌투좌타)
165,김건태,NC 다이노스,9000만원,투수(우투우타)
166,이해창,한화 이글스,5500만원,포수(우투우타)
167,정훈,롯데 자이언츠,6400만원,외야수(우투우타)
168,오태곤,SK 와이번스,9500만원,내야수(우투우타)
169,박시영,롯데 자이언츠,7900만원,투수(우투우타)
170,이상호,NC 다이노스,10000만원,내야수(우투우타)
171,임기준,KIA 타이거즈,8700만원,투수(좌투좌타)
172,김경태,한화 이글스,3600만원,투수(좌투좌타)
173,이태양,SK 와이번스,14000만원,투수(우투좌타)
174,박종훈,SK 와이번스,29000만원,투수(우언우타)
175,문광은,LG 트윈스,7500만원,투수(우투우타)
176,임찬규,LG 트윈스,13500만원,투수(우투우타)
177,유강남,LG 트윈스,23000만원,포수(우투우타)
178,이우찬,LG 트윈스,7500만원,투수(좌투좌타)
179,송윤준,한화 이글스,2700만원,투수(좌투좌타)
180,이천웅,LG 트윈스,28000만원,외야수(좌투좌타)
181,최영진,삼성 라이온즈,8000만원,내야수(우투우타)
182,김동한,롯데 자이언츠,4500만원,내야수(우투우타)
183,정진호,한화 이글스,11300만원,외야수(우투좌타)
184,이현호,한화 이글스,4500만원,투수(좌투좌타)
185,양현,키움 히어로즈,9000만원,투수(우언우타)
186,강동연,NC 다이노스,3400만원,투수(우투우타)
187,고종욱,SK 와이번스,17000만원,외야수(우투좌타)
188,김도현,KT 위즈,2900만원,외야수(우투우타)
189,김대우,삼성 라이온즈,11500만원,투수(우언우타)
190,김헌곤,삼성 라이온즈,19000만원,외야수(우투우타)
191,심창민,삼성 라이온즈,28000만원,투수(우언우타)
192,윤영삼,키움 히어로즈,9800만원,투수(우투양타)
193,임현준,삼성 라이온즈,11000만원,투수(좌언좌타)
194,김민하,한화 이글스,4500만원,외야수(우투우타)
195,장국헌,롯데 자이언츠,2700만원,투수(우투우타)
196,허일,롯데 자이언츠,4100만원,외야수(우투좌타)
197,홍건희,두산 베어스,5300만원,투수(우투우타)
198,강경학,한화 이글스,7800만원,내야수(우투좌타)
199,오준혁,SK 와이번스,3000만원,외야수(우투좌타)
200,정진기,SK 와이번스,4600만원,외야수(우투좌타)
201,서진용,SK 와이번스,20000만원,투수(우투우타)
202,김정후,키움 히어로즈,3500만원,투수(우투우타)
203,이원재,NC 다이노스,7100만원,내야수(우투좌타)
204,정영일,SK 와이번스,11000만원,투수(우투우타)
205,최성훈,LG 트윈스,4700만원,투수(좌투좌타)
206,신동훈,롯데 자이언츠,3000만원,투수(우투우타)
207,류지혁,KIA 타이거즈,10500만원,내야수(우투좌타)
208,윤명준,두산 베어스,21000만원,투수(우투우타)
209,박세혁,두산 베어스,23200만원,포수(우투좌타)
210,변시원,KIA 타이거즈,5000만원,투수(우언우타)
211,유민상,KIA 타이거즈,6000만원,내야수(우투좌타)
212,이동원,두산 베어스,2700만원,투수(우투우타)
213,김재현,키움 히어로즈,7000만원,포수(우투우타)
214,박정음,키움 히어로즈,4300만원,외야수(좌투좌타)
215,김규민,키움 히어로즈,5400만원,외야수(좌투좌타)
216,김태훈,키움 히어로즈,8000만원,투수(우투우타)
217,한현희,키움 히어로즈,29000만원,투수(우언우타)
218,구자욱,삼성 라이온즈,28000만원,외야수(우투좌타)
219,박찬도,삼성 라이온즈,5000만원,외야수(우투좌타)
220,박해민,삼성 라이온즈,30000만원,외야수(우투좌타)
221,이준형,LG 트윈스,5000만원,투수(우투우타)
222,신용승,KT 위즈,2800만원,외야수(좌투좌타)
223,이현동,삼성 라이온즈,2900만원,외야수(우투우타)
224,김원중,롯데 자이언츠,10000만원,투수(우투좌타)
225,윤수강,NC 다이노스,3200만원,포수(우투우타)
226,신본기,롯데 자이언츠,12500만원,내야수(우투우타)
227,김준태,롯데 자이언츠,3800만원,포수(우투좌타)
228,김상호,롯데 자이언츠,3000만원,내야수(우투우타)
229,정태승,롯데 자이언츠,2800만원,투수(좌투좌타)
230,임준섭,한화 이글스,8800만원,투수(좌투좌타)
231,김윤동,KIA 타이거즈,13000만원,투수(우투우타)
232,홍성민,NC 다이노스,10000만원,투수(우언양타)
233,하주석,한화 이글스,14000만원,내야수(우투좌타)
234,임기영,KIA 타이거즈,7000만원,투수(우언우타)
235,양성우,한화 이글스,7000만원,외야수(우투좌타)
236,박승욱,KT 위즈,8000만원,내야수(우투좌타)
237,김민식,KIA 타이거즈,8800만원,포수(우투좌타)
238,문승원,SK 와이번스,25700만원,투수(우투우타)
239,최항,SK 와이번스,7500만원,내야수(우투좌타)
240,최정민,KIA 타이거즈,3500만원,내야수(우투좌타)
241,한동민,SK 와이번스,25000만원,외야수(우투좌타)
242,박민우,NC 다이노스,52000만원,내야수(우투좌타)
243,황윤호,KIA 타이거즈,5000만원,내야수(우투우타)
244,김태형,LG 트윈스,2900만원,투수(우투우타)
245,노성호,삼성 라이온즈,4000만원,투수(좌투좌타)
246,강진성,NC 다이노스,3800만원,외야수(우투우타)
247,이민호,NC 다이노스,10000만원,투수(우투우타)
248,노진혁,NC 다이노스,14000만원,내야수(우투좌타)
249,김성욱,NC 다이노스,12000만원,외야수(우투우타)
250,신재영,키움 히어로즈,7000만원,투수(우언우타)
251,나성범,NC 다이노스,50000만원,외야수(좌투좌타)
252,이형범,두산 베어스,14200만원,투수(우투우타)
253,최금강,NC 다이노스,10000만원,투수(우투우타)
254,김성한,삼성 라이온즈,3000만원,투수(우투우타)
