,playerID,name,team,salary,position
0,50007,문상준,KT 위즈,2700.0,내야수(우투우타)
1,50008,여도건,KT 위즈,2700.0,투수(좌투좌타)
2,50009,최지효,KT 위즈,2700.0,내야수(우투우타)
3,50010,고영찬,KT 위즈,2700.0,투수(우투우타)
4,50011,최태성,KT 위즈,2700.0,외야수(우투좌타)
5,50012,이승주,KT 위즈,2700.0,외야수(우투우타)
6,50013,김범,KT 위즈,2700.0,외야수(우투좌타)
7,50014,윤종휘,KT 위즈,2700.0,내야수(우투우타)
8,50015,박성현,KT 위즈,2700.0,내야수(우투우타)
9,50030,소형준,KT 위즈,2700.0,투수(우투우타)
10,50036,이강준,KT 위즈,2700.0,투수(우투우타)
11,50040,데스파이네,KT 위즈,49500.00000000001,투수(우투우타)
12,50054,천성호,KT 위즈,2700.0,내야수(우투좌타)
13,50066,강현우,KT 위즈,2700.0,포수(우투우타)
14,50092,윤준혁,KT 위즈,2700.0,내야수(우투우타)
15,50093,김성균,KT 위즈,2700.0,내야수(좌투좌타)
16,50094,서경찬,KT 위즈,2700.0,투수(우투우타)
17,50096,한지용,KT 위즈,2700.0,포수(우투좌타)
18,50105,강민,LG 트윈스,2700.0,투수(우투우타)
19,50106,유영찬,LG 트윈스,2700.0,투수(우투우타)
20,50107,하영진,LG 트윈스,2700.0,투수(우투우타)
21,50108,함창건,LG 트윈스,2700.0,외야수(좌투좌타)
22,50109,성재헌,LG 트윈스,2700.0,투수(좌투좌타)
23,50110,이정우,LG 트윈스,2700.0,외야수(우투우타)
24,50112,박찬호,LG 트윈스,2700.0,투수(우투우타)
25,50114,조용근,LG 트윈스,2700.0,투수(우투우타)
26,50115,김태우,LG 트윈스,2700.0,내야수(우투우타)
27,50116,김도환,LG 트윈스,2700.0,외야수(좌투좌타)
28,50126,이민호,LG 트윈스,2700.0,투수(우투우타)
29,50150,손호영,LG 트윈스,2700.0,내야수(우투우타)
30,50157,김윤식,LG 트윈스,2700.0,투수(좌투좌타)
31,50165,라모스,LG 트윈스,33000.0,내야수(우투좌타)
32,50167,이주형,LG 트윈스,2700.0,내야수(우투좌타)
33,50202,안권수,두산 베어스,2700.0,외야수(우투좌타)
34,50203,권휘,두산 베어스,2700.0,투수(우투우타)
35,50204,박지훈,두산 베어스,2700.0,내야수(우투우타)
36,50205,박웅,두산 베어스,2700.0,투수(우투우타)
37,50206,최종인,두산 베어스,2700.0,투수(우투우타)
38,50207,지원근,두산 베어스,2700.0,포수(우투우타)
39,50208,오명진,두산 베어스,2700.0,내야수(우투좌타)
40,50209,구장익,두산 베어스,2700.0,내야수(우투우타)
41,50211,제환유,두산 베어스,2700.0,투수(우투좌타)
42,50214,김도경,두산 베어스,2700.0,외야수(우투우타)
43,50234,플렉센,두산 베어스,66000.0,투수(우투우타)
44,50244,장규빈,두산 베어스,2700.0,포수(우투우타)
45,50262,이주엽,두산 베어스,2700.0,투수(우투우타)
46,50293,양찬열,두산 베어스,2700.0,외야수(우투좌타)
47,50294,김성민,두산 베어스,2700.0,투수(좌투좌타)
48,50296,조제영,두산 베어스,2700.0,투수(우투우타)
49,50298,최세창,두산 베어스,2700.0,투수(우투우타)
50,50300,모터,키움 히어로즈,22000.0,내야수(우투우타)
51,50304,김병휘,키움 히어로즈,2700.0,내야수(우투우타)
52,50312,신준우,고양 히어로즈,2700.0,내야수(우투우타)
53,50350,러셀,키움 히어로즈,59399.560000000005,내야수(우투우타)
54,50354,이종민,키움 히어로즈,2700.0,투수(좌투좌타)
55,50357,박주홍,키움 히어로즈,2700.0,외야수(좌투좌타)
56,50360,김동혁,키움 히어로즈,2700.0,투수(우투우타)
57,50365,문찬종,키움 히어로즈,2700.0,내야수(우투양타)
58,50392,박동혁,고양 히어로즈,2700.0,외야수(우투우타)
59,50393,김동욱,고양 히어로즈,2700.0,투수(우투우타)
60,50394,정재원,고양 히어로즈,2700.0,외야수(우투우타)
61,50395,김동은,고양 히어로즈,2700.0,투수(우투우타)
62,50397,박관진,키움 히어로즈,2700.0,투수(우투우타)
63,50404,뷰캐넌,삼성 라이온즈,66000.0,투수(우투우타)
64,50411,박주혁,삼성 라이온즈,2700.0,투수(우투우타)
65,50412,조경원,삼성 라이온즈,2700.0,투수(좌투좌타)
66,50413,한연욱,삼성 라이온즈,2700.0,투수(우투우타)
67,50414,정진수,삼성 라이온즈,2700.0,포수(우투좌타)
68,50415,김경민,삼성 라이온즈,2700.0,내야수(우투우타)
69,50416,신동수,삼성 라이온즈,2700.0,내야수(우투우타)
70,50430,홍원표,삼성 라이온즈,2700.0,투수(우투우타)
71,50441,황동재,삼성 라이온즈,2700.0,투수(우투우타)
72,50449,허윤동,삼성 라이온즈,2700.0,투수(좌투좌타)
73,50458,김지찬,삼성 라이온즈,2700.0,내야수(우투좌타)
74,50464,이승민,삼성 라이온즈,2700.0,투수(좌투좌타)
75,50468,살라디노,삼성 라이온즈,77000.0,내야수(우투우타)
76,50469,팔카,삼성 라이온즈,11000.0,외야수(좌투좌타)
77,50500,황성빈,롯데 자이언츠,2700.0,외야수(우투좌타)
78,50506,마차도,롯데 자이언츠,33000.0,내야수(우투우타)
79,50507,엄태호,롯데 자이언츠,2700.0,외야수(우투좌타)
80,50508,이찬우,롯데 자이언츠,2700.0,포수(우투우타)
81,50517,김건우,롯데 자이언츠,2700.0,외야수(우투좌타)
82,50524,샘슨,롯데 자이언츠,55000.00000000001,투수(우투우타)
83,50556,최준용,롯데 자이언츠,2700.0,투수(우투우타)
84,50558,스트레일리,롯데 자이언츠,55000.00000000001,투수(우투우타)
